topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
topic15,grun,rot,koalition,bundnis,bundesregier,fraktion,partei,opposition,bundeskanzler_gerhard_schröder,okosteu,trittin,fdp,union,bundestag,bundestagsfraktion,grünen_koalition,koalitionspartn,joschka_fischer,grüne_koalition,klar,fraktionschef,bundestagswahl,sozialdemokrat,mehrheit,koalitionsvertrag,streit,grünen_bundesregierung,außenminister_joschka_fischer,debatt,alternativ,okolog,große_koalition,gelb,grüne_bundesregierung,warf,forder,koalitionsverhandl,fraktionschefin,claudia_roth,sprach,volm,politikerin,rostel,thema,gemeinsam,fraktionsvorsitz,fritz_kuhn,legislaturperiod,butikof,reinhard_bütikofer,wollt,fortsetz,jürgen_trittin,kerstin_müller,position,setz,goring,grünen_regierung,nannt,grüne_regierung,renate_künast,hohn,schlauch,bonn,punkt,basis,link,ausstieg,garzweil,seh,woll,signal,beschluss,volker_beck,rezzo_schlauch,linkspartei,abgeordnet,kompromiss,bundnisgrun,ii,radck,bundestagsabgeordnet,beer,zdf,kritisiert,ampel,chefin,wochen,inhalt,umweltministerin,bundeseb,ansicht,krista_sager,oko,vollm,koalitionsvereinbar,umstritt,spitz,blick,regierungswechsel
 ,0.247,0.09,0.027,0.023,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic16,islam,demokrati,muslim,demokrat,algeri,militar,anhang,religios,algi,islamist,grupp,general,regim,fuhr,radikal,opposition,gewalt,alger,fundamentalist,national,moslem,mosche,unabhang,unruh,kampf,wahl,bevolker,arme,westlich,dialog,putsch,blutig,exil,religion,beweg,verbot,bewaffnet,sturz,extremist,verfass,ausnahmezustand,ruckkehr,mind,gesturzt,kraft,mitglied,staatlich,staatschef,gewahlt,freiheit,fis,organisation,ordnung,hauptstadt,partei,fuhrung,diktator,burgerkrieg,aufstand,machthab,ethnisch,oberst,diktatur,karikatur,gegn,herrschaft,revolution,friedlich,sicherheitskraft,auseinandersetz,volk,gemassigt,autoritar,lebend,beobacht,aufgeruf,press,zeitung,demokratisier,west,oppositionell,christlich,aufruf,freie,vertret,heilig,angeb,korruption,konflikt,junta,ex,versuch,unterdruck,offiziell,leb,front,kultur,kopftuch,rundfunk,regiert
 ,0.035,0.023,0.017,0.017,0.014,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic17,rent,beitrag,riest,rentn,pflegeversicher,rentenversicher,gesetz,alt,arbeitnehm,rentenreform,blum,leistung,privat,beitragssatz,sozialversicher,erhoh,arbeitgeb,reform,sozial,pfleg,bundesregier,finanzier,versichert,steig,zusatz,rentenkass,sozialpolit,belast,einkomm,anheb,rentenbeitrag,rurup,entlast,feiertag,krankenversicher,prozentpunkt,beitragszahl,modell,vorsorg,finanziert,plan,langfrist,senkung,einfuhr,demograph,kurzung,konzept,steu,altersversorg,arbeitsminist,sozialverband,mensch,vorschlag,pflegebedurft,rentenalt,jung,finanzi,altersvorsorg,bfa,burgerversicher,syst,ausgleich,arbeitslosenversicher,alterssicher,gefordert,generation,senk,vdk,lohnnebenkost,sozialexpert,last,abschlag,finanziell,kost,statt,koalition,angehob,absenk,sink,heutig,einschnitt,jahrlich,lohn,steigend,schrittweis,bundesarbeitsminister_norbert_blüm,burg,krank,ruhestand,voll,gesenkt,berechn,dressl,dadurch,allein,erhoht,sozialbeitrag,rentenniveau,vdr,sozialsystem
 ,0.041,0.026,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,vertrag,gemeinsam,zusammenarbeit,abkomm,vereinbar,kooperation,unterzeichnet,partn,vereinbart,unterzeichn,seit,eng,partnerschaft,geschloss,erklar,entsprech,gegenseit,abschluss,bezieh,verpflicht,abgeschloss,betont,beteiligt,unterschrieb,geeinigt,rahm,besteh,verbind,ausgehandelt,verpflichtet,grundlag,umfass,schritt,interess,zusamm,beteil,jeweil,dokument,umsetz,bedeut,strateg,ausserd,getroff,absichtserklar,ratifizier,verhandelt,kooperi,start,vorgeseh,ratifiziert,angestrebt,off,ziel,gegenzug,unterschrift,vertret,tret,konkret,ubereinkunft,aufbau,endgult,verstandigt,schliess,projekt,begrusst,darin,einigt,detail,intensiv,austausch,miteinand,wollt,abschliess,bilateral,vorbehalt,basis,unterschreib,zusag,beding,grundsatz,protokoll,einhalt,ii,besiegelt,grundung,streb,sichert,verhandeln,absprach,bezeichnet,abmach,ausdruck,vorsieht,ubernehm,erfull,memorandum,form,eingegang,engere_zusammenarbeit,fern
 ,0.073,0.068,0.056,0.039,0.038,0.032,0.029,0.027,0.027,0.017,0.014,0.013,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,alt,famili,jahrig,sohn,tod,vat,leb,brud,jung,haus,mann,gestorb,damal,letzt,mutt,kam,freund,frau,erb,tocht,lebt,schwer,gehort,person,nam,herz,verwandt,generation,bild,tot,schwest,liess,ging,zusamm,nie,stand,nahm,verstorb,bekannt,prinz,starb,blieb,ex,geword,verlor,gekomm,senior,abschied,gebracht,hielt,reich,trau,hand,heimat,witw,fuhrt,lang,kind,verlass,jahrzehnt,geschicht,ehemal,fand,offent,galt,gebor,ehefrau,trauerfei,enkel,ums,nah,ehr,sarg,inzwisch,gemacht,gefund,begann,seitd,trat,danach,schrieb,ii,eng,trug,langjahr,uberlebt,beerdig,sah,zog,geseh,uberleb,bracht,einst,angehor,einzig,spat,tran,tief,krankheit,kehrt
 ,0.065,0.033,0.028,0.023,0.02,0.019,0.019,0.015,0.014,0.013,0.013,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,betont,hinzu,meint,fugt,bleib,woll,ansicht,wort,weiterhin,klar,auffass,bedeut,notwend,seh,unterschied,position,wunsch,interess,besteh,zugleich,meinung,zukunft,sollt,fuhr,unterstrich,bezeichnet,gegenub,gelt,gegeb,durf,verwi,daran,vorstell,raumt,gegenwart,mach,grundsatz,aussert,off,gemeinsam,einschatz,ausgesproch,deshalb,voraussetz,ausdruck,verantwort,fest,uberzeugt,festhalt,innerhalb,gemacht,sowohl,voll,sinn,beding,diskussion,vertret,gegensatz,zusammenhang,ausschliess,vielmehr,and,setz,erlautert,vollig,gleichzeit,ubereinstimm,entschied,stell,direkt,vertrat,chanc,gefuhrt,darum,wed,wollt,einzeln,lieg,ledig,anlass,darin,brauch,ausgeschloss,uberzeug,jetzig,grundlag,absolut,sicht,bisher,geandert,hoff,entgeg,schaff,notig,denk,eindeut,unabhang,erhalt,absicht,keinerlei
 ,0.062,0.04,0.028,0.027,0.025,0.024,0.022,0.019,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002
topic21,massnahm,programm,forder,ziel,notwend,mittel,gefordert,unterstutz,sollt,ford,zusatz,beitrag,hilf,verbesser,rahm,verstarkt,ausserd,erford,initiativ,finanziell,konkret,verbess,insbesond,schaff,betont,heisst,schaffung,voraussetz,bess,beschloss,umfass,verbessert,erreich,hinaus,geschaff,umsetz,vorrang,fern,besteh,starkung,wirksam,verfug,entsprech,anstreng,leist,darub,unterstutzt,langfrist,gleichzeit,ausreich,schritt,sicher,entwickl,kundigt,zugleich,angesicht,bemuh,prioritat,dringend,verstark,vorgeseh,einsetz,bereich,dauerhaft,aufgab,rasch,schwerpunkt,reduzier,instrument,erhoh,ermog,notig,zud,besond,gezielt,erhalt,wesent,eingesetzt,ergreif,aufbau,abbau,beseit,aktiv,verabschiedet,begrenzt,schnell,rahmenbeding,mitteln,gestellt,stell,grundlag,setz,kurzfrist,erheb,umfang,zusammenhang,bekampf,bedeut,anreiz,genutzt
 ,0.035,0.032,0.029,0.022,0.018,0.016,0.015,0.015,0.014,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,sudafrika,sudafrikan,afrikan,afrika,rand,schwarz,simbabw,johannesburg,anc,weiss,kontinent,national,sudafrikas,unabhang,mandela,wahl,fuhr,kap,angola,beweg,mugab,demokrat,kapstadt,farm,apartheid,unita,nelson_mandela,vergang,sudlich,afrikas,gewalt,letzt,beobacht,diamant,trotz,demokrati,obwohl,de_klerk,nationalkongress,pretoria,harar,gefuhrt,million,einheit,organisation,mosamb,burgerkrieg,april,namibia,bevolker,nachd,gilt,lang,meist,kampf,begonn,de_beers,einzig,ehemal,kam,gehort,anhang,sech,angolan,unterstutz,staatlich,inzwisch,schwer,vizeprasident,inkatha,unruh,bezeichnet,provinz,erhalt,gemacht,wandel,hoffnung,kurz,de,offiziell,staatsprasident,bislang,jung,unterstutzt,verantwort,beendet,thabo_mbeki,staatschef,erstmal,buthelezi,ghana,gehor,zusamm,mbeki,mitglied,wochen,befreiungsbeweg,zuvor,fuhrt,darunt
 ,0.026,0.018,0.017,0.017,0.015,0.014,0.012,0.012,0.011,0.011,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic23,schuld,pleit,insolvenz,kredit,finanziell,glaubig,verlust,bank,angeschlag,sanier,konkur,millionen_euro,forder,gestellt,investor,rettung,geld,erhalt,insolvenzverwalt,babcock,zahlungsunfah,burgschaft,gerat,gesellschaft,zusammenbruch,insolvenzverfahr,rett,verkauf,glaubigerbank,insolvent,verbind,verschuldet,gesichert,beantragt,betroff,beschaftigt,hilf,vergleich,vorlauf,steht,ubernomm,bankrott,ubernehm,drohend,firma,schwierig,angemeldet,insolvenzantrag,verhandl,zahlung,gegang,uberleb,fallig,amtsgericht,gescheitert,nachd,schuldn,sanierungskonzept,droht,eroffn,antrag,bilanz,anmeld,ag,finanzspritz,eroffnet,ehemal,arbeitsplatz,gerettet,interessent,konkursverwalt,sani,gewahrt,mitarbeit,kurzfrist,darleh,liquiditat,sanierungsplan,verhandelt,schieflag,inzwisch,beteiligt,uberschuldet,finanzier,rechnung,kreditgeb,fortfuhr,ruckzahl,grupp,zunach,knapp,endgult,kreditlini,management,konzern,zusammengebroch,stell,oberhaus,zuletzt,konzept
 ,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,asi,indonesi,singapur,asiat,australi,region,thailand,indones,jakarta,austral,philippin,malaysia,pazif,sudostasi,ost,timor,bangkok,asean,manila,suharto,neuseeland,unabhang,birma,sudostasiat,vietnam,ausland,hauptstadt,insel,apec,kuala_lumpur,sech,raum,habibi,howard,fernost,malays,inseln,sudkorea,militar,unruh,asienkris,national,pro,hongkong,regional,mahathir,wahid,japan,osttimor,rangun,prasidentin,aceh,trotz,premierminist,mindest,provinz,ramos,canberra,wirtschaftskris,kris,bali,staatlich,bevolker,fuhr,mai,estrada,jung,thaksin,dili,marcos,gehor,malaysias,rupiah,megawati,meist,korea,brunei,gilt,meint,anwar,kambodscha,ehemal,darunt,koloni,tig,beobacht,adb,asia,begonn,mitglied,grupp,steht,nation,setzt,schwer,gekomm,lokal,ostasi,suhartos,weltweit
 ,0.038,0.028,0.025,0.025,0.024,0.022,0.021,0.016,0.016,0.015,0.015,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,reform,notwend,agenda,schritt,ziel,verander,kritik,notig,umsetz,schnell,radikal,klar,dringend,grundleg,bring,brauch,umfass,zugleich,plan,widerstand,gmelin,endlich,ford,richtig,statt,umbau,bess,angekundigt,kritisiert,konzept,syst,durchsetz,rasch,strukturreform,red,sollt,angesicht,umgesetzt,unterstutz,abschaff,zentral,kur,zud,punkt,konsequent,fuhr,mahnt,modernisier,reformi,gefordert,schaff,struktur,durf,genug,gemacht,gestarkt,wirklich,bisher,uberfall,diskussion,ansteh,chanc,kundigt,reformplan,gleichzeit,erfolg,blick,zugig,kurswechsel,wort,erwart,korrektur,lobt,reformiert,begrusst,hart,richtige_richtung,richtung,grundsatz,starkung,gebracht,reformpolit,herta_däubler,reformkur,setz,daubl,vorschlag,bleib,breit,and,mut,burokrati,zukunft,entschloss,braucht,eingeleitet,vorstell,umzusetz,setzt,echt
 ,0.127,0.019,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic26,auftrag,erhalt,elf,augsburg,geschaft,liefer,abb,gegeb,vergeb,laut,offent,firma,damal,lief,geliefert,vergab,firm,zusammenhang,bekannt,bestatigt,zustand,wert,anfang,ging,leuna,inzwisch,bekomm,verkauf,erteilt,gemacht,ausschreib,bislang,zud,ausserd,beteiligt,erhielt,pfahl,gehort,genannt,zunach,steht,panz,kam,strauss,ebenfall,gefuhrt,entsprech,genehm,ehemal,darunt,auss,gekomm,neb,geword,sech,berichtet,handelt,zuschlag,holz,export,ausfuhr,nachd,bestimmt,stand,gegang,eingesetzt,auftraggeb,gezahlt,bestand,stell,acht,liefert,offenbar,danach,zufolg,mitt,liess,auftragsvergab,manag,bestech,gebracht,umfang,moglicherweis,gerat,zuvor,grossauftrag,direkt,staatssekretar,zug,hintergrund,angenomm,verschied,rustungsexport,gestellt,erheb,stellt,gehabt,vernehm,tatig,schmiergeld
 ,0.053,0.024,0.018,0.016,0.014,0.014,0.014,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic27,anleih,rendit,bond,rating,papi,laufzeit,mill,zehnjahr,staatsanleih,mrd,emission,investor,bund,bank,basispunkt,anleg,volum,futur,agentur,pfandbrief,kupon,bundesanleih,begeb,prozentpunkt,ratingagentur,kapitalmarkt,poor,rentenmarkt,frankfurt,zins,niedrig,fallig,standard,kurs,titel,funfjahr,moody,emittent,anleihemarkt,bonitat,kam,unternehmensanleih,hypothekenbank,festverzins,jahrig,verzins,depfa,handl,durft,moodys,expert,jung,ausserd,bondmarkt,kurzfrist,stell,not,gegenub,bzw,betragt,kondition,wandelanleih,zud,langfrist,fitch,ausgabekur,tranch,nachfrag,wertpapi,jumbo,leicht,fiel,gering,eurobond,schuldn,bewertet,konsortialfuhr,rentiert,emittiert,liegt,entsprech,geschaft,renditeaufschlag,lieg,erwart,zufolg,genannt,analyst,umlaufrendit,float,bewert,akteur,attraktiv,libor,herabstuf,spread,market,sieb,rechn,zin
 ,0.042,0.019,0.015,0.013,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic28,dollar,euro,yen,wahrung,kostet,gegenub,schwach,kur,fest,handl,notiert,mark,vortag,devis,devisenmarkt,leicht,frankfurt,referenzkur,legt,nachmittag,london,wert,handel,schweizer_franken,fiel,gehandelt,ezb,gestieg,europäische_zentralbank,uhr,druck,feinunze_gold,gefall,stieg,intervention,gemeinschaftswahr,mittag,kurs,nachd,pfund,britische_pfund,festgesetzt,je,devisenhandel,zuvor,notenbank,zeitweis,amerikan,erholt,cent,spekulation,gold,konjunkturdat,erreicht,anstieg,spat,morg,erhol,zentralbank,zuletzt,greenback,devisenhandl,erneut,verlor,japanische_yen,belastet,setzt,kaum,feinunz,marktteilnehm,new_york,europäische_gemeinschaftswährung,analyst,uhr_ortszeit,dat,japan,wechselkur,klettert,erwart,festgestellt,kilobarr,goldpreis,abwert,york,abend,aufwert,hohenflug,vergleich,uberrasch,bewegt,unverandert,profitiert,tief,kraftig,kurs_des_euro,bank,dollarkur,knapp,verteuert,anderen_wichtigen_währungen
 ,0.171,0.062,0.023,0.022,0.017,0.015,0.015,0.013,0.012,0.011,0.011,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic29,bank,frankfurt,deutsche_bank,commerzbank,institut,kund,dresdner_bank,deutschen_bank,grossbank,geschaft,hypo,vereinsbank,investmentbank,kreditinstitut,banking,filial,tocht,dresdn,breu,haus,hypovereinsbank,investment,of,ubs,allianz,postbank,main,geldhaus,fusion,kredit,hvb,vermogensverwalt,privatkund,ubernahm,vorstandssprech,privatbank,privatkundengeschaft,investmentbanking,munch,brok,vorstand,barclays,geldinstitut,privat,direktbank,bhf,bhw,berat,finanzdienstleist,risikovorsorg,citibank,consor,bankhaus,vermog,bilanzsumm,hsbc,ausland,comdirect,ertrag,citigroup,credit_suisse,dab,transaktion,finanzinstitut,bankgeschaft,bfg,eigenkapitalrendit,josef_ackermann,mitarbeit,oppenheim,hypothek,gewinn,kopp,goldman_sachs,bislang,hypothekenbank,unicredito,finanzplatz,versicher,geschaftsbank,deutschen_banken,kohlhauss,eurohypo,firmenkund,sgl,banki,sal,zweitgrosst,angebot,royal_bank,firmenkundengeschaft,kreditgeschaft,zud,konkurrenz,faul,finanzkreis,niederlass,bank_ag,bv,neb
 ,0.17,0.027,0.024,0.022,0.02,0.019,0.016,0.016,0.012,0.012,0.011,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
